Exp,Video,Window,Type,Algo,Time,interIntervalTimeDP,interIntervalTimeDP_GT100,AvgTimeBWDPK,AvgTimeBWDPK_GT100,DThroughput,DTTime,DTotal_Packets,DTotal_Packets_GT100,STD_Less,STD_GT,EMA,DEMA,CUSUM,10P,20P,30P,40P,50P,60P,70P,80P,90P,10T,20T,30T,40T,50T,60T,70T,80T,90T
1,Tears,1,4g,bba,0,0.1830151081085205,0.174417,0.008715005148024786,0.01937966666666666666666666667,396688.5616730131,72600.0,22,10,571.3569772520026,615.527586709158,0.08425592390416482,3.018468389511109,0.9268958568572998,52.0,52.0,52.0,55.2,60.0,120.0,155.0,1158.8000000000004,1476.0000000000005,363729.5340695473,657448.1274491851,766922.708710989,1002135.4153517056,1029982.2289091886,1109544.1730352042,1121084.7404496951,1129093.9800569993,1297626.6913207206
1,Tears,1,4g,bba,1,0.6399679183959961,0,0.15999197959899902,0,23038.654870316142,14744.0,5,1,617.2155539193743,0.0,0.1383451979062557,0.8664450168609619,0.8132419586181641,55.2,58.4,60.8,62.4,64.0,64.0,64.0,371.8000000000003,987.4000000000001,15819.906799759303,16304.47851900302,16789.05023824674,17052.060898415166,17204.29102904595,17356.521159676737,17936.068598717615,19370.250654578685,20804.432710439756
1,Tears,1,4g,bba,2,0.8165938854217529,0.816594,0.09073265393575032,0.1633188,65031.101687190494,53104.0,10,6,781.8384487859369,778.2057711314035,6.984033671250214,7.683762724399567,7.324331045150757,52.0,52.0,57.599999999999994,117.0,231.0,485.7999999999997,905.8,1308.0,1594.5999999999997,7933.167471958139,8327.307439023398,14410.162931302566,23552.65505328777,24738.85308276697,25146.505507020967,25531.76962505693,30658.180893289562,42856.2547689516
1,Tears,1,4g,bba,4,0.004545927047729492,0,0.0015153090159098308,0,2942414.134578067,13376.0,4,1,624.7015287319217,0.0,0.0005571865558624268,0.03597579717636111,0.006031036376953125,54.4,56.8,59.2,60.0,60.0,60.0,203.9999999999995,636.0000000000005,1068.0000000000002,388039.66308281326,473390.7907903708,558741.9184979283,644093.0462054859,729444.1739130435,1151472.382853989,1573500.5917949344,1995528.8007358804,2417557.0096768257
1,Tears,1,4g,bba,5,0.29695701599121094,0.296957,0.026996092362837357,0.0593914,46794.651251517425,13896.0,12,6,96.34929942661752,36.89512162874653,0.011554701069073104,0.8947959733009345,0.3481919765472412,52.0,52.0,52.0,52.0,103.5,214.39999999999998,254.0,254.0,254.0,711294.6380749714,865081.1809263062,983209.7652481076,992562.5675587821,1056103.0502484816,1184534.5509732761,1199858.1100410032,1369392.887063655,1587587.5946275946
1,Tears,1,4g,bba,6,0.21743392944335938,0.217228,0.016725686880258415,0.03620466666666666666666666667,79619.58855418516,17312.0,14,7,100.90498662866277,1.2936264483053452,0.008010308238208174,1.3325037503242503,0.5580575466156006,52.0,52.0,52.0,54.400000000000006,159.0,254.0,254.2,256.0,256.7,98438.25767186224,218012.59928443815,904910.5851310119,1363321.6956875648,1447353.6073091452,1566224.9274869293,1636638.0334752046,1668737.7953720556,1704939.8128994626
1,Tears,1,4g,bba,7,0.5358250141143799,0.506265,0.06697812676429749,0.07232357142857142857142857143,31383.3799412925,16816.0,9,8,64.19434227598967,0.82915619758885,0.2525394114235473,2.9769966793060307,2.7218503952026367,214.4,255.0,255.4,256.0,256.0,256.8,257.0,257.0,257.0,10922.563931745906,13212.114007906617,14499.66948130876,17485.35623761993,21179.04715388167,24730.98114208513,27220.518650192298,28811.01024643362,31311.978840586038
1,Tears,1,4g,bba,8,0.004091024398803711,0.004091,0.0005113780498504639,0.00102275,2901962.648639198,11872.0,9,5,100.97133195389279,0.4,0.003080453142014471,0.29836736679077175,0.018522262573242188,52.0,52.0,52.0,92.60000000000004,255.0,255.0,255.0,255.0,255.2,2333248.339101676,2374087.0118161794,2413916.9027078594,2501853.464450915,2535490.0018055392,2552850.2208622377,2583819.6685625534,3051433.4144415595,3966569.8592826687
1,Tears,1,4g,bba,9,0.12506413459777832,0.005644,0.013896014955308702,0.001411,98509.45708474008,12320.0,10,5,102.0,0.0,0.007786618298010693,0.512304668426514,0.1537766456604004,52.0,52.0,52.0,52.0,154.0,256.0,256.0,256.0,256.0,1082831.2859624017,1455102.1455066008,1566914.8815578707,1611499.0388042904,1620394.567425375,1657508.5170080625,1714466.9301102455,1762352.6744842026,1989536.029779056
1,Tears,1,4g,bba,10,0.4198009967803955,0.419801,0.04198009967803955,0.0839602,34454.42033470527,14464.0,11,6,100.43475740931406,0.0,3.6027314792435106,4.58636485338211,4.140125513076782,52.0,52.0,52.0,64.0,256.0,256.0,256.0,256.0,256.0,6072.945739656718,10068.056228417423,11737.005560919446,14968.6102479993,17417.97114874931,19859.327069643237,23076.065096951177,24730.32859576321,28718.43404274614
1,Tears,1,4g,bba,11,0.4198009967803955,0,0.0,0,990.9457175910808,416.0,1,0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,6072.945739656718,10068.056228417423,11737.005560919446,14968.6102479993,17417.97114874931,19859.327069643237,23076.065096951177,24730.32859576321,28718.43404274614
1,Tears,1,4g,bba,12,0.715425968170166,0.715426,0.03765399832474558,0.05503276923076923076923076923,43610.3823290057,31200.0,20,14,93.6162379077476,0.4517539514526256,0.05699529975548001,6.065749928951266,4.399586200714111,52.0,52.0,194.80000000000004,256.0,256.0,256.0,256.0,256.2,257.0,38064.35016489132,41801.046519630974,47645.71451897154,75062.57241397156,341334.3788336876,1452043.8202370724,1499810.0451498032,1683792.4897556677,1759857.5488217336
1,Tears,1,4g,bba,13,0.00457000732421875,0.004570,0.0005077785915798611,0.0011425,2716844.6611018362,12416.0,10,5,100.85712666936332,0.0,0.00022771469873640463,0.38037453174591096,0.020580053329467773,52.0,52.0,52.0,59.2,160.0,256.0,256.0,256.0,256.0,2258110.623426693,2330171.752764947,2450483.031153853,2585506.107925289,2649596.4135003183,2654881.958748778,2837728.4564742306,3885796.158253314,136373937.95653006
1,Tears,1,4g,bba,14,0.11364293098449707,0.004872,0.012626992331610786,0.001218,108409.73471267358,12320.0,10,5,102.0,0.0,0.006150885779092985,0.49249569654464753,0.13378286361694336,52.0,52.0,52.0,52.0,154.0,256.0,256.0,256.0,256.0,1639312.8426717212,2186385.067752942,2296598.4804003774,2298492.9591124216,2298515.6019969815,2308911.808567591,2563342.948327134,2747366.6123514003,2944908.2476440896
1,Tears,1,4g,bba,15,0.4819369316101074,0.414053,0.04819369316101074,0.0828106,29713.43149021218,14320.0,11,6,101.07970833958976,0.0,3.917228345492265,4.639489924907685,4.190436601638794,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.0,255.0,9447.51451817646,10741.595032704752,14400.389084981703,16472.23130058772,19322.190029189966,22170.895758803825,24233.36584324573,27870.85484406435,28673.030074116992
1,Tears,1,4g,bba,16,0.7597711086273193,0.759771,0.0446924181545482,0.084419,31230.45839801601,23728.0,18,10,100.87261249029532,0.6324555320336759,7.146576578498723,10.327324526309969,8.979901552200317,52.0,52.0,52.0,52.0,254.0,255.0,255.0,255.0,255.3,9477.325614270472,14483.691820410706,18766.7887269612,22315.98960390101,25864.42096234329,28596.760917657415,28842.42092731608,29248.414884116737,29753.27123123695
1,Tears,1,4g,bba,17,0.8719480037689209,0.871948,0.04589200019836426,0.07266233333333333333333333333,33946.978342810035,29600.0,20,13,96.37011985050138,0.46153846153846156,1.3599364811543888,12.989535038471221,11.379494190216064,52.0,52.0,60.400000000000006,255.0,255.0,256.0,256.0,256.0,256.0,22327.024755706272,24633.2148227009,26045.05143006602,27201.174845802685,27387.092549994675,27548.224180675756,27923.005484052617,28227.86095209339,29269.783374885104
1,Tears,1,4g,bba,18,0.16311907768249512,0.005129,0.016311907768249513,0.00128225,77979.84258321385,12720.0,11,5,101.37900413467693,0.4898979485566356,0.5902749064275626,1.1857302522659308,0.7369389533996582,52.0,52.0,52.0,52.0,52.0,255.0,255.0,256.0,256.0,36388.86016773169,44628.89361843609,66560.39175705127,77041.15189743291,81121.24249189002,96807.24207779372,117401.92613003994,126850.62718266682,150337.38942733392
1,Tears,1,4g,bba,19,0.45432090759277344,0.454321,0.0100960201687283,0.01682670370370370370370370370,162862.85478704423,73992.0,46,28,216.93571499949945,232.3461609762644,14.579037912706365,28.542443196773547,18.648671627044678,52.0,52.0,52.0,155.0,255.0,256.0,256.0,256.0,256.0,19328.37760429927,33405.11796112364,46581.28547636986,58831.886706606456,70827.9542620941,84212.39665844453,97584.80568770993,114449.56684581834,132904.120280818
1,Tears,1,4g,bba,21,0.45432090759277344,0,0.00017786026000976562,0,51223.704678939524,23272.0,2,2,0.0,0.0,0.0,0.0,0.00017786026000976562,1298.9,1337.8,1376.7,1415.6,1454.5,1493.4,1532.3,1571.2,1610.1,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204,56673705.522788204
1,Tears,1,4g,bba,22,0.7612860202789307,0.754508,0.054377572877066474,0.1257513333333333333333333333,35319.182651151794,26888.0,15,7,352.83961732713004,443.1015454631553,0.07687879120318666,5.361004977226258,4.49560022354126,52.0,52.0,52.0,56.800000000000004,64.0,194.60000000000002,254.0,254.0,254.0,35947.1153295803,39558.61834106542,42714.42561793017,52962.90614896221,57678.466179518015,63923.02679448582,73114.93409556596,135603.94385475834,172609.2698150565
1,Tears,1,4g,bba,23,0.7365119457244873,0.004499,0.07365119457244873,0.00112475,17422.663779577262,12832.0,11,5,100.6387040870985,1.0954451150103321,0.3229840872753037,1.497198286056519,1.0544404983520508,52.0,52.0,52.0,52.0,64.0,254.0,256.0,256.0,257.0,16722.54027161703,63707.78621122849,83101.34640517665,120855.28333832364,148540.31325627933,175399.23126681757,211135.8696757077,227330.66928823618,269394.6027608716
1,Tears,1,4g,bba,24,0.6726348400115967,0.672635,0.06726348400115967,0.134527,21408.346911902056,14400.0,11,6,101.91018570492953,0.4714045207910317,0.016009095434717277,1.2840078449249273,0.842350959777832,52.0,52.0,52.0,52.0,256.0,256.0,257.0,257.0,257.0,75628.2602618615,1254545.095571687,1652943.0880802113,1866320.5978788564,1995491.2549357282,2088474.4348978573,2209250.157830563,2241578.523644002,2332499.608293632
1,Tears,1,4g,bba,25,0.7068629264831543,0.004430,0.07068629264831543,0.0011075,18096.860820872113,12792.0,11,5,100.13833407049081,0.0,0.2999247216213239,1.4453228378295901,1.002281665802002,52.0,52.0,52.0,52.0,64.0,255.0,255.0,255.0,255.0,17428.5349669696,69133.30679944635,90114.07028733639,131040.19994830588,160225.5231504737,188194.40418441786,226557.30655900223,243634.64815409476,287357.79995877336
1,Tears,1,4g,bba,27,0.6805200576782227,0.680520,0.035816845140959085,0.068052,38594.01306936743,26264.0,20,11,101.44371592168731,0.2874797872880344,0.03885677602707449,4.7143641042709366,3.0346081256866455,52.0,52.0,52.0,52.0,255.5,256.0,256.0,256.0,256.0,40296.574261864334,53404.32336194764,87798.9463740144,274073.1235895599,1564415.8577562256,1709722.3607338606,1841461.6636476526,1934177.5871255777,2346299.802450395
1,Tears,1,4g,bba,28,0.4441249370574951,0.444125,0.037010411421457924,0.06344642857142857142857142857,41826.06841010417,18576.0,13,8,98.24658025877736,0.4330127018922193,0.05542942785758326,5.08420955657959,4.468761444091797,52.0,52.0,59.199999999999996,217.60000000000014,256.0,256.0,256.0,256.0,256.8,18727.73207161526,19934.78595596597,22053.576985014588,25653.603904192925,28498.941942279707,31345.24718512482,34919.85394555976,37016.451281953756,80006.46099145
1,Tears,1,4g,bba,29,0.005349159240722656,0.005349,0.0005943510267469618,0.00133725,2322607.991442325,12424.0,10,5,100.95746629150318,0.4,0.0002846121752068559,0.38702801942825343,0.02730083465576172,52.0,52.0,52.0,59.2,160.0,256.0,256.0,256.0,256.1,1748943.087225216,1789412.1160921543,1833970.751586539,1892116.1313182611,1899018.5157462347,1930402.5219048182,1975521.1971191955,2361023.759633302,193209039.32156172
1,Tears,1,4g,bba,30,0.7475991249084473,0.004962,0.07475991249084472,0.0012405,17174.979975494778,12840.0,11,5,100.73588739006802,0.4,0.007745631418383637,1.2147621297836309,0.772486686706543,52.0,52.0,52.0,52.0,64.0,256.0,256.0,256.0,256.0,1689434.637182917,1898359.3420458285,1920704.5055025902,2000942.9264864973,2070401.8803916157,2101659.910136725,2142269.8819929827,2383390.447000445,69139471.75384593
1,Tears,1,4g,bba,31,0.6824829578399658,0.004748,0.06824829578399658,0.001187,18661.27183645579,12736.0,11,5,101.57763793732171,0.0,2.5696272661795376,6.800627415180207,6.388009309768677,52.0,52.0,52.0,52.0,52.0,256.0,256.0,256.0,256.0,1535.6880706091133,3710.3948401694283,4671.201552449865,6657.415634009142,8161.228099597189,9663.407072660397,11644.394436829292,12662.97452143376,15120.459176058948
1,Tears,1,4g,bba,32,0.7238290309906006,0.723829,0.026808482629281503,0.05170207142857142857142857143,49890.23437009525,36112.0,28,15,100.83804452928368,0.5734883511361751,0.028514159489772088,6.3942305946350135,2.913363456726074,52.0,52.0,52.0,52.0,254.0,255.0,255.0,255.0,255.3,70734.68029659313,141139.9724107875,1667092.7526721954,2259834.8828439377,2363116.6760931043,2431225.16069047,2487332.368366468,2522292.0415264596,3761912.9639506172
1,Tears,1,4g,bba,33,0.3780488967895508,0.378049,0.03150407473246256,0.0756098,40418.052082045746,15280.0,13,6,100.72465250027808,0.4714045207910317,1.461242085340935,4.633281376361848,3.9980790615081787,52.0,52.0,52.0,52.0,64.0,255.0,255.4,256.0,256.0,9616.854011975984,14735.779890560374,15761.974126251253,16220.190771723634,18708.26774530777,21696.360115714666,25900.573744638623,28374.08989231822,33413.934552212886
1,Tears,1,4g,bba,34,0.5432860851287842,0.303297,0.04527384042739868,0.0606594,27918.992249552048,15168.0,13,6,101.36593734799608,0.4714045207910317,1.8246005419077456,5.622949590682983,4.993930816650391,52.0,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.8,6747.932003424727,10938.597459484448,12828.033184525975,15772.769570065551,16531.47697364621,19627.440537376555,22015.08993261262,25800.940606262284,27106.043143735682
1,Tears,1,4g,bba,35,0.4324979782104492,0.432498,0.04324979782104492,0.0864996,33442.930900735824,14464.0,11,6,100.43475740931406,0.0,3.4227086515849066,4.665527760982513,4.222017526626587,52.0,52.0,52.0,64.0,256.0,256.0,256.0,256.0,256.0,5988.519416543501,9837.24614322545,11454.43425200103,14594.06115347012,16961.46911891372,19315.668507743703,22430.692211668153,24024.169978601276,27885.582747645098
1,Tears,1,4g,bba,36,0.4324979782104492,0,0.0,0,961.854207322048,416.0,1,0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,5988.519416543501,9837.24614322545,11454.43425200103,14594.06115347012,16961.46911891372,19315.668507743703,22430.692211668153,24024.169978601276,27885.582747645098
1,Tears,1,4g,bba,37,0.057060956954956055,0.057061,0.0010374719446355645,0.001542189189189189189189189189,2508615.4813877014,143144.0,56,38,507.7936867001706,574.6329028098633,0.021937925106476536,15.884802238941203,1.0450859069824219,52.0,52.0,56.0,255.0,256.0,256.0,256.0,256.0,256.0,1642986.8813795408,2609879.9334138604,2634901.0966961267,2675727.965419826,2708254.6240299908,2788385.5410272055,2822978.4736340223,2845404.4893022655,2926123.983588025
1,Tears,1,4g,bba,38,0.7175729274749756,0.711860,0.0512552091053554,0.1186433333333333333333333333,37359.26896564098,26808.0,15,7,353.22699028622753,442.9964297087437,0.07881690115836852,6.248017511367799,5.391636371612549,52.0,52.0,52.0,52.0,60.0,194.60000000000002,254.0,254.0,255.2,33747.30430627198,34472.57558369485,35283.48808246516,40309.42879989337,43415.38456803113,46530.499516511896,51532.953155970055,54240.21015765,126898.42898015775
1,Tears,1,4g,bba,39,0.0037479400634765625,0.003748,0.0004164377848307292,0.000937,3321291.106361323,12448.0,10,5,101.25729603342171,0.4,0.00020498315167015194,0.3783198308944705,0.018504619598388672,52.0,52.0,52.0,59.2,160.0,256.4,257.0,257.0,257.0,2442309.094157906,2565497.3032662105,2689435.943104422,2797833.2120945808,2898273.6513125994,2935717.776281047,3056880.578914308,3391694.1760177603,146191266.77355888
1,Tears,1,4g,bba,40,0.12481093406677246,0.003338,0.013867881562974717,0.0008345,98773.3974765757,12328.0,10,5,102.10137119549374,0.7483314773547882,0.0044324365969935775,0.4992671370506291,0.1406416893005371,52.0,52.0,52.0,52.0,153.5,255.4,256.0,256.2,257.0,2010602.0185069179,2597454.1139052203,2716966.4881500336,2822055.39702168,2957583.5062857145,3059044.9779083836,3124436.961819896,3180262.764121816,3740592.544420064
1,Tears,1,4g,bba,41,0.4480888843536377,0.410316,0.04480888843536377,0.0820632,31975.79877632526,14328.0,11,6,101.16307103952886,0.3726779962499649,3.901913356831243,4.581374788284303,4.13189172744751,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.0,255.0,9490.503509941187,10795.469947612331,14481.189965188703,16577.420455601397,19465.043206818424,22351.697395215986,24442.14034462212,28115.858096081854,29127.611938126436
1,Tears,1,4g,bba,42,0.4480888843536377,0,0.0,0,4570.521768140295,2048.0,1,1,0.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,9490.503509941187,10795.469947612331,14481.189965188703,16577.420455601397,19465.043206818424,22351.697395215986,24442.14034462212,28115.858096081854,29127.611938126436
1,Tears,1,4g,bba,43,0.8949770927429199,0.894977,0.03314729973121926,0.06884438461538461538461538462,38758.533912514395,34688.0,28,14,101.1864312917054,0.0,0.10542655666931869,14.581508731842042,11.183340787887573,52.0,52.0,52.0,52.0,160.0,256.0,256.0,256.0,256.0,28167.41538077889,31496.273847817076,35575.565004379605,39124.975487364165,48767.05336715595,139584.69817391312,2221401.5421077507,2539064.723564299,2710111.779707777
1,Tears,1,4g,bba,44,0.3200991153717041,0.004895,0.03556656837463379,0.00122375,38538.06339225663,12336.0,10,5,102.2005870824625,0.48989794855663565,2.7261923124223624,3.219141597747803,2.8593668937683105,52.0,52.0,52.0,52.0,154.0,256.0,256.0,256.2,257.0,6525.788853622931,8607.527465223819,11712.753399663998,15846.419195260152,16870.67196867423,21988.4178485443,24026.682341312597,27070.613517036494,31130.154823435198
